"dates","Open","High","Low","Close","Volume","OpenInt","TotalOpenInt"
"2010-11-12",0,1093.5,1093.5,1093.5,0,0,636147
"2010-11-15",0,1107,1107,1107,0,0,636604
"2010-11-16",0,1067,1067,1067,0,0,628018
"2010-11-17",0,1054,1054,1054,0,0,617458
"2010-11-18",0,1081.25,1081.25,1081.25,0,0,612503
"2010-11-19",0,1067,1067,1067,0,0,614816
"2010-11-22",0,1075.25,1075.25,1075.25,0,0,615803
"2010-11-23",0,1088.25,1088.25,1088.25,0,0,621891
"2010-11-24",0,1105,1105,1105,0,0,622647
"2010-11-25",0,1105,1105,1105,0,0,0
"2010-11-26",0,1097.5,1097.5,1097.5,0,0,625531
"2010-11-29",0,1096,1096,1096,0,0,629228
"2010-11-30",0,1100,1100,1100,0,0,629641
"2010-12-01",0,1132,1132,1132,0,0,631521
"2010-12-02",0,1131,1131,1131,0,0,637044
"2010-12-03",0,1135,1135,1135,0,0,635581
"2010-12-06",0,1139.5,1139.5,1139.5,0,0,637187
"2010-12-07",0,1144,1144,1144,0,0,631450
"2010-12-08",0,1154,1154,1154,0,0,631786
"2010-12-09",0,1140.25,1140.25,1140.25,0,0,632093
"2010-12-10",0,1139.5,1139.5,1139.5,0,0,627974
"2010-12-13",0,1166.5,1166.5,1166.5,0,0,639740
"2010-12-14",0,1156,1156,1156,0,0,641380
"2010-12-15",0,1154.5,1154.5,1154.5,0,0,643172
"2010-12-16",0,1151,1151,1151,0,0,650096
"2010-12-17",0,1167.75,1167.75,1167.75,0,0,649436
"2010-12-20",0,1177,1177,1177,0,0,650720
"2010-12-21",0,1179,1179,1179,0,0,656932
"2010-12-22",0,1179.25,1179.25,1179.25,0,0,660862
"2010-12-23",0,1194,1194,1194,0,0,661077
"2010-12-24",0,1194,1194,1194,0,0,0
"2010-12-27",0,1203.25,1203.25,1203.25,0,0,662034
"2010-12-28",0,1204.25,1204.25,1204.25,0,0,656652
"2010-12-29",0,1203.25,1203.25,1203.25,0,0,646355
"2010-12-30",0,1216.5,1216.5,1216.5,0,0,638635
"2010-12-31",0,1231.5,1231.5,1231.5,0,0,628389
"2011-01-03",0,1212.25,1212.25,1212.25,0,0,629399
"2011-01-04",0,1194,1194,1194,0,0,625584
"2011-01-05",0,1212,1212,1212,0,0,622609
"2011-01-06",0,1207.5,1207.5,1207.5,0,0,626285
"2011-01-07",0,1205,1205,1205,0,0,619912
"2011-01-10",0,1205,1205,1205,0,0,617497
"2011-01-11",0,1189,1189,1189,0,0,623778
"2011-01-12",0,1200,1200,1200,0,0,623205
"2011-01-13",0,1197,1197,1197,0,0,631594
"2011-01-14",0,1202,1202,1202,1,1,642515
"2011-01-17",0,1202,1202,1202,0,0,0
"2011-01-18",0,1192,1192,1192,0,1,646246
"2011-01-19",0,1196,1196,1196,0,1,654378
"2011-01-20",0,1202.75,1202.75,1202.75,0,1,658882
"2011-01-21",0,1211,1211,1211,0,1,660339
"2011-01-24",0,1205.75,1205.75,1205.75,0,1,662135
"2011-01-25",0,1187,1187,1187,0,1,656305
"2011-01-26",0,1203,1203,1203,0,1,650122
"2011-01-27",0,1203,1203,1203,0,1,656493
"2011-01-28",0,1204,1204,1204,0,1,660596
"2011-01-31",0,1220,1220,1220,0,1,662077
"2011-02-01",0,1234,1234,1234,0,1,667874
"2011-02-02",0,1229,1229,1229,0,1,677851
"2011-02-03",0,1226.5,1226.5,1226.5,0,1,686598
"2011-02-04",0,1230,1230,1230,0,1,690887
"2011-02-07",0,1229,1229,1229,0,1,699400
"2011-02-08",0,1237,1237,1237,0,1,697263
"2011-02-09",0,1239,1239,1239,0,1,698094
"2011-02-10",0,1229,1229,1229,0,1,703682
"2011-02-11",0,1225,1225,1225,0,1,704913
"2011-02-14",0,1216.75,1216.75,1216.75,0,1,701830
"2011-02-15",0,1204,1204,1204,0,1,700839
"2011-02-16",0,1204.5,1204.5,1204.5,0,1,698764
"2011-02-17",0,1239,1239,1239,0,1,690781
"2011-02-18",0,1207.5,1207.5,1207.5,0,1,681485
"2011-02-21",0,1207.5,1207.5,1207.5,0,0,0
"2011-02-22",0,1149,1149,1149,0,1,649459
"2011-02-23",0,1168,1168,1168,0,1,638392
"2011-02-24",0,1168.25,1168.25,1168.25,0,1,627370
"2011-02-25",0,1192,1192,1192,0,1,623526
"2011-02-28",0,1189,1189,1189,0,1,618719
"2011-03-01",0,1192.5,1192.5,1192.5,0,1,612246
"2011-03-02",0,1199.25,1199.25,1199.25,0,1,612668
"2011-03-03",0,1204,1204,1204,0,1,612285
"2011-03-04",0,1212,1212,1212,0,1,614600
"2011-03-07",0,1215,1215,1215,0,1,618563
"2011-03-08",0,1210,1210,1210,0,1,619123
"2011-03-09",0,1184,1184,1184,0,1,617315
"2011-03-10",0,1180.5,1180.5,1180.5,0,1,616231
"2011-03-11",1180,1180,1160.5,1160.5,0,1,620729
"2011-03-14",0,1171.5,1171.5,1171.5,1,1,620556
"2011-03-15",0,1125.5,1125.5,1125.5,0,1,620192
"2011-03-16",0,1132.5,1132.5,1132.5,0,1,623278
"2011-03-17",0,1182.5,1182.5,1182.5,0,1,620745
"2011-03-18",0,1195.25,1195.25,1195.25,0,1,611402
"2011-03-21",0,1212.25,1212.25,1212.25,0,1,614224
"2011-03-22",0,1210.75,1210.75,1210.75,0,1,613680
"2011-03-23",0,1204.75,1204.75,1204.75,0,1,616043
"2011-03-24",0,1216.75,1216.75,1216.75,0,1,617532
"2011-03-25",0,1226.5,1226.5,1226.5,0,1,618579
"2011-03-28",0,1223,1223,1223,0,1,617943
"2011-03-29",0,1235.5,1235.5,1235.5,0,1,615727
"2011-03-30",0,1245.5,1245.5,1245.5,0,1,618462
"2011-03-31",0,1277.5,1277.5,1277.5,0,1,623265
"2011-04-01",0,1278.5,1278.5,1278.5,0,1,636556
"2011-04-04",0,1279,1279,1279,0,1,637734
"2011-04-05",0,1273.75,1273.75,1273.75,0,1,637255
"2011-04-06",0,1267,1267,1267,0,1,634185
"2011-04-07",0,1264,1264,1264,0,1,643311
"2011-04-08",0,1291,1291,1291,0,1,640224
"2011-04-11",0,1274,1274,1274,0,1,649596
"2011-04-12",0,1260,1260,1260,0,1,644423
"2011-04-13",0,1277.25,1277.25,1277.25,0,1,636592
"2011-04-14",0,1281.75,1281.75,1281.75,0,1,631631
"2011-04-15",0,1267.75,1267.75,1267.75,0,1,633672
"2011-04-18",0,1275.25,1275.25,1275.25,0,1,634776
"2011-04-19",0,1282,1282,1282,0,1,634523
"2011-04-20",0,1287,1287,1287,0,1,636039
"2011-04-21",0,1301,1301,1301,0,1,636641
"2011-04-22",0,1301,1301,1301,0,0,0
"2011-04-25",0,1299,1299,1299,0,1,620690
"2011-04-26",0,1301,1301,1301,0,1,604356
"2011-04-27",0,1293.25,1293.25,1293.25,0,1,593568
"2011-04-28",0,1269,1269,1269,0,1,587043
"2011-04-29",0,1294,1294,1294,0,1,577768
"2011-05-02",0,1290,1290,1290,0,1,572958
"2011-05-03",0,1277,1277,1277,0,1,574018
"2011-05-04",0,1264.5,1264.5,1264.5,0,1,571504
"2011-05-05",0,1241,1241,1241,0,1,560079
"2011-05-06",0,1223.25,1223.25,1223.25,0,1,565330
"2011-05-09",0,1243.25,1243.25,1243.25,0,1,561628
"2011-05-10",0,1243.5,1243.5,1243.5,0,1,557498
"2011-05-11",0,1245,1245,1245,0,1,551624
"2011-05-12",0,1241,1241,1241,0,1,554411
"2011-05-13",0,1228.75,1228.75,1228.75,0,1,552776
"2011-05-16",0,1232,1232,1232,0,1,551314
"2011-05-17",0,1247,1247,1247,0,1,546857
"2011-05-18",0,1277,1277,1277,0,1,545194
"2011-05-19",1290,1290,1277,1277,0,1,547693
"2011-05-20",0,1280.5,1280.5,1280.5,1,1,549946
"2011-05-23",0,1280.25,1280.25,1280.25,0,1,553074
"2011-05-24",0,1286,1286,1286,0,1,552951
"2011-05-25",0,1297.5,1297.5,1297.5,0,1,554958
"2011-05-26",0,1303.75,1303.75,1303.75,0,1,561129
"2011-05-27",0,1299.5,1299.5,1299.5,0,1,573556
"2011-05-30",0,1299.5,1299.5,1299.5,0,0,0
"2011-05-31",0,1297.75,1297.75,1297.75,0,1,575685
"2011-06-01",0,1299.25,1299.25,1299.25,0,1,578374
"2011-06-02",0,1307.5,1307.5,1307.5,0,1,579734
"2011-06-03",1315,1315,1312.5,1312.5,0,1,599333
"2011-06-06",0,1285.75,1285.75,1285.75,1,2,604832
"2011-06-07",0,1305.5,1305.5,1305.5,0,2,602803
"2011-06-08",0,1305.5,1305.5,1305.5,0,2,596873
"2011-06-09",0,1301,1301,1301,0,2,595731
"2011-06-10",0,1303.25,1303.25,1303.25,0,2,596329
"2011-06-13",0,1311.25,1311.25,1311.25,0,2,590259
"2011-06-14",0,1301.25,1301.25,1301.25,0,2,594294
"2011-06-15",1296,1296,1294.75,1294.75,0,2,599556
"2011-06-16",0,1278,1278,1278,2,3,591338
"2011-06-17",0,1275,1275,1275,0,3,594689
"2011-06-20",0,1281,1281,1281,0,3,595225
"2011-06-22",0,1274,1274,1274,0,3,592785
"2011-06-23",0,1261,1261,1261,0,3,588336
"2011-06-24",0,1256,1256,1256,0,3,583503
"2011-06-27",0,1256.25,1256.25,1256.25,0,3,590234
"2011-06-28",0,1256.25,1254.25,1256.25,0,3,544420
"2011-06-29",0,1265.25,1265.25,1265.25,0,3,530783
"2011-06-30",0,1249,1249,1249,0,3,525601
"2011-07-01",0,1256.5,1256.5,1256.5,0,3,523386
"2011-07-04",0,1256.5,1256.5,1256.5,0,0,0
"2011-07-05",0,1266.5,1266.5,1266.5,0,3,525380
"2011-07-06",0,1260.25,1260.25,1260.25,0,3,522466
"2011-07-07",0,1266.25,1266.25,1266.25,0,3,520615
"2011-07-08",0,1269.75,1269.75,1269.75,0,3,520365
"2011-07-11",0,1267,1267,1267,0,3,515622
"2011-07-12",0,1273.25,1273.25,1273.25,0,3,518620
"2011-07-13",0,1290,1290,1290,0,3,514256
"2011-07-14",0,1286,1286,1286,0,3,521852
"2011-07-15",0,1289.5,1289.5,1289.5,0,3,525734
"2011-07-18",0,1286.5,1286.5,1286.5,0,3,532714
"2011-07-19",0,1284.5,1284.5,1284.5,0,3,541503
"2011-07-20",0,1280.75,1280.75,1280.75,0,3,543107
"2011-07-21",0,1292.5,1292.5,1292.5,0,3,544424
"2011-07-22",0,1294.75,1294.75,1294.75,0,3,546314
"2011-07-25",0,1292,1292,1292,0,3,545999
"2011-07-26",0,1305,1305,1305,0,3,538970
"2011-07-27",0,1304,1304,1304,0,3,537567
"2011-07-28",0,1301.5,1301.5,1301.5,0,3,537925
