iter	Passed	Remaining
0	54	10843
1	70	6995
2	74	4917
3	84	4142
4	126	4926
5	168	5456
6	211	5839
7	253	6090
8	290	6162
9	327	6221
10	349	5996
11	355	5565
12	365	5254
13	407	5415
14	417	5153
15	432	4978
16	454	4896
17	493	4986
18	534	5093
19	569	5127
20	611	5213
21	654	5293
22	696	5356
23	739	5423
24	762	5334
25	804	5382
26	849	5442
27	892	5481
28	937	5527
29	976	5531
30	1021	5566
31	1065	5592
32	1108	5608
33	1117	5457
34	1163	5486
35	1206	5498
36	1222	5383
37	1266	5399
38	1289	5322
39	1304	5219
40	1348	5229
41	1363	5129
42	1384	5056
43	1406	4988
44	1416	4880
45	1426	4774
46	1430	4656
47	1451	4597
48	1461	4504
49	1465	4396
50	1507	4403
51	1550	4412
52	1592	4415
53	1627	4401
54	1671	4405
55	1692	4351
56	1733	4348
57	1747	4278
58	1761	4210
59	1775	4143
60	1827	4164
61	1836	4087
62	1888	4107
63	1905	4048
64	1915	3978
65	1925	3909
66	1968	3908
67	1976	3837
68	1992	3782
69	2036	3781
70	2052	3728
71	2067	3675
72	2091	3639
73	2102	3579
74	2141	3568
75	2185	3565
76	2195	3507
77	2210	3456
78	2252	3450
79	2294	3441
80	2330	3424
81	2353	3386
82	2367	3336
83	2410	3329
84	2431	3289
85	2441	3236
86	2482	3224
87	2504	3187
88	2546	3176
89	2585	3159
90	2607	3122
91	2617	3072
92	2658	3059
93	2697	3042
94	2707	2992
95	2749	2978
96	2794	2967
97	2848	2965
98	2896	2955
99	2904	2904
100	2948	2890
101	2987	2870
102	3010	2834
103	3022	2789
104	3070	2777
105	3113	2761
106	3158	2745
107	3202	2728
108	3246	2710
109	3268	2674
110	3303	2648
111	3325	2612
112	3332	2565
113	3373	2545
114	3381	2499
115	3423	2478
116	3430	2433
117	3437	2389
118	3447	2346
119	3461	2307
120	3475	2268
121	3517	2248
122	3538	2215
123	3548	2174
124	3589	2153
125	3610	2120
126	3652	2099
127	3688	2074
128	3693	2032
129	3734	2010
130	3770	1985
131	3806	1961
132	3848	1938
133	3889	1915
134	3903	1879
135	3945	1856
136	3987	1833
137	4028	1810
138	4064	1783
139	4105	1759
140	4146	1735
141	4187	1710
142	4229	1686
143	4272	1661
144	4296	1629
145	4301	1590
146	4346	1567
147	4361	1532
148	4372	1496
149	4417	1472
150	4461	1447
151	4506	1423
152	4551	1398
153	4557	1361
154	4602	1336
155	4647	1310
156	4662	1277
157	4706	1251
158	4745	1223
159	4759	1189
160	4802	1163
161	4844	1136
162	4880	1107
163	4902	1076
164	4916	1042
165	4952	1014
166	4993	986
167	5001	952
168	5042	924
169	5094	898
170	5160	875
171	5213	848
172	5259	820
173	5283	789
174	5323	760
175	5368	732
176	5414	703
177	5458	674
178	5503	645
179	5515	612
180	5530	580
181	5574	551
182	5624	522
183	5635	490
184	5679	460
185	5724	430
186	5761	400
187	5776	368
188	5781	336
189	5791	304
190	5805	273
191	5842	243
192	5850	212
193	5891	182
194	5931	152
195	5972	121
196	6013	91
197	6054	61
198	6089	30
199	6130	0
